"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0CVOD","PM10",53
2013,1,2,0,"CZ0CVOD","PM10",25
2013,1,3,0,"CZ0CVOD","PM10",30
2013,1,4,0,"CZ0CVOD","PM10",6
2013,1,5,0,"CZ0CVOD","PM10",8
2013,1,6,0,"CZ0CVOD","PM10",6
2013,1,7,0,"CZ0CVOD","PM10",21
2013,1,8,0,"CZ0CVOD","PM10",21
2013,1,11,0,"CZ0CVOD","PM10",11
2013,1,12,0,"CZ0CVOD","PM10",36
2013,1,13,0,"CZ0CVOD","PM10",33
2013,1,14,0,"CZ0CVOD","PM10",70
2013,1,15,0,"CZ0CVOD","PM10",60
2013,1,16,0,"CZ0CVOD","PM10",51
2013,1,17,0,"CZ0CVOD","PM10",36
2013,1,18,0,"CZ0CVOD","PM10",50
2013,1,19,0,"CZ0CVOD","PM10",55
2013,1,20,0,"CZ0CVOD","PM10",68
2013,1,21,0,"CZ0CVOD","PM10",49
2013,1,22,0,"CZ0CVOD","PM10",84
2013,1,23,0,"CZ0CVOD","PM10",111
2013,1,25,0,"CZ0CVOD","PM10",95
2013,1,26,0,"CZ0CVOD","PM10",51
2013,1,27,0,"CZ0CVOD","PM10",111
2013,1,28,0,"CZ0CVOD","PM10",76
2013,1,29,0,"CZ0CVOD","PM10",15
2013,1,30,0,"CZ0CVOD","PM10",5
2013,1,31,0,"CZ0CVOD","PM10",8
2013,2,1,0,"CZ0CVOD","PM10",12
2013,2,2,0,"CZ0CVOD","PM10",14
2013,2,3,0,"CZ0CVOD","PM10",10
2013,2,4,0,"CZ0CVOD","PM10",9
2013,2,5,0,"CZ0CVOD","PM10",18
2013,2,6,0,"CZ0CVOD","PM10",27
2013,2,8,0,"CZ0CVOD","PM10",36
2013,2,9,0,"CZ0CVOD","PM10",36
2013,2,10,0,"CZ0CVOD","PM10",40
2013,2,11,0,"CZ0CVOD","PM10",44
2013,2,12,0,"CZ0CVOD","PM10",46
2013,2,13,0,"CZ0CVOD","PM10",59
2013,2,14,0,"CZ0CVOD","PM10",70
2013,2,15,0,"CZ0CVOD","PM10",69
2013,2,16,0,"CZ0CVOD","PM10",64
2013,2,17,0,"CZ0CVOD","PM10",71
2013,2,18,0,"CZ0CVOD","PM10",54
2013,2,19,0,"CZ0CVOD","PM10",19
2013,2,20,0,"CZ0CVOD","PM10",17
2013,2,22,0,"CZ0CVOD","PM10",63
2013,2,23,0,"CZ0CVOD","PM10",58
2013,2,24,0,"CZ0CVOD","PM10",52
2013,2,25,0,"CZ0CVOD","PM10",49
2013,2,26,0,"CZ0CVOD","PM10",44
2013,2,27,0,"CZ0CVOD","PM10",33
2013,2,28,0,"CZ0CVOD","PM10",43
2013,3,1,0,"CZ0CVOD","PM10",31
2013,3,2,0,"CZ0CVOD","PM10",49
2013,3,3,0,"CZ0CVOD","PM10",33
2013,3,4,0,"CZ0CVOD","PM10",32
2013,3,5,0,"CZ0CVOD","PM10",52
2013,3,6,0,"CZ0CVOD","PM10",52
2013,3,8,0,"CZ0CVOD","PM10",69
2013,3,9,0,"CZ0CVOD","PM10",60
2013,3,10,0,"CZ0CVOD","PM10",24
2013,3,11,0,"CZ0CVOD","PM10",34
2013,3,12,0,"CZ0CVOD","PM10",67
2013,3,13,0,"CZ0CVOD","PM10",61
2013,3,14,0,"CZ0CVOD","PM10",30
2013,3,15,0,"CZ0CVOD","PM10",36
2013,3,16,0,"CZ0CVOD","PM10",37
2013,3,17,0,"CZ0CVOD","PM10",32
2013,3,18,0,"CZ0CVOD","PM10",44
2013,3,19,0,"CZ0CVOD","PM10",18
2013,3,20,0,"CZ0CVOD","PM10",19
2013,3,22,0,"CZ0CVOD","PM10",29
2013,3,23,0,"CZ0CVOD","PM10",31
2013,3,24,0,"CZ0CVOD","PM10",32
2013,3,25,0,"CZ0CVOD","PM10",47
2013,3,26,0,"CZ0CVOD","PM10",47
2013,3,27,0,"CZ0CVOD","PM10",45
2013,3,28,0,"CZ0CVOD","PM10",48
2013,3,29,0,"CZ0CVOD","PM10",62
2013,3,30,0,"CZ0CVOD","PM10",65
2013,4,5,0,"CZ0CVOD","PM10",66
2013,4,6,0,"CZ0CVOD","PM10",53
2013,4,7,0,"CZ0CVOD","PM10",41
2013,4,8,0,"CZ0CVOD","PM10",39
2013,4,9,0,"CZ0CVOD","PM10",22
2013,4,10,0,"CZ0CVOD","PM10",17
2013,4,11,0,"CZ0CVOD","PM10",16
2013,4,12,0,"CZ0CVOD","PM10",9
2013,4,13,0,"CZ0CVOD","PM10",12
2013,4,14,0,"CZ0CVOD","PM10",21
2013,4,15,0,"CZ0CVOD","PM10",20
2013,4,16,0,"CZ0CVOD","PM10",26
2013,4,17,0,"CZ0CVOD","PM10",23
2013,4,19,0,"CZ0CVOD","PM10",24
2013,4,20,0,"CZ0CVOD","PM10",33
2013,4,21,0,"CZ0CVOD","PM10",44
2013,4,22,0,"CZ0CVOD","PM10",41
2013,4,23,0,"CZ0CVOD","PM10",35
2013,4,24,0,"CZ0CVOD","PM10",28
2013,4,25,0,"CZ0CVOD","PM10",24
2013,4,26,0,"CZ0CVOD","PM10",30
2013,4,27,0,"CZ0CVOD","PM10",20
2013,4,28,0,"CZ0CVOD","PM10",18
2013,5,7,0,"CZ0CVOD","PM10",19
2013,5,8,0,"CZ0CVOD","PM10",17
2013,5,9,0,"CZ0CVOD","PM10",16
2013,5,10,0,"CZ0CVOD","PM10",11
2013,5,11,0,"CZ0CVOD","PM10",13
2013,5,12,0,"CZ0CVOD","PM10",9
2013,5,13,0,"CZ0CVOD","PM10",11
2013,5,14,0,"CZ0CVOD","PM10",14
2013,5,15,0,"CZ0CVOD","PM10",14
2013,5,20,0,"CZ0CVOD","PM10",18
2013,5,24,0,"CZ0CVOD","PM10",15
2013,5,25,0,"CZ0CVOD","PM10",26
2013,5,28,0,"CZ0CVOD","PM10",15
2013,5,29,0,"CZ0CVOD","PM10",9
2013,6,1,0,"CZ0CVOD","PM10",7
2013,6,2,0,"CZ0CVOD","PM10",5
2013,6,6,0,"CZ0CVOD","PM10",13
2013,6,7,0,"CZ0CVOD","PM10",15
2013,6,8,0,"CZ0CVOD","PM10",17
2013,6,9,0,"CZ0CVOD","PM10",13
2013,6,10,0,"CZ0CVOD","PM10",11
2013,6,11,0,"CZ0CVOD","PM10",12
2013,6,12,0,"CZ0CVOD","PM10",14
